original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
United Kingdom,"20 Finsbury Circus,London EC2M 1NB",518,2,51.51775,-0.08498,"City of London, EC2M 1NB, United Kingdom",,,,EC2M 1NB,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Finsbury Circus,London,EC2M 1NB",519,2,51.51775,-0.08498,"City of London, EC2M 1NB, United Kingdom",,,,EC2M 1NB,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Lime Ave.,Duffield Belper,Derbyshire,DE56 4DX",520,2,52.9929519,-1.4912071,"Lime Avenue, Amber Valley, DE56 4DX, United Kingdom",Lime Avenue,,Lime Avenue,DE56 4DX,,,Amber Valley,Derbyshire,DBY,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,20 Little Britain London EC1A 7DH,521,2,51.5171797,-0.098326,"PureGym, 20 Little Britain, City of London, EC1A 7DH, United Kingdom",PureGym,20,Little Britain,EC1A 7DH,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Little Britain,London EC1A 7DH",522,2,51.5171797,-0.098326,"PureGym, 20 Little Britain, City of London, EC1A 7DH, United Kingdom",PureGym,20,Little Britain,EC1A 7DH,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Little Britain,London,EC1A 7DH",523,2,51.5171797,-0.098326,"PureGym, 20 Little Britain, City of London, EC1A 7DH, United Kingdom",PureGym,20,Little Britain,EC1A 7DH,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 North Audley St.,London,W1K 6WL",524,2,51.51331705,-0.15329392324999963,"Le Pain Quotidien, 20 North Audley Street, London, W1K 6ZD, United Kingdom",Le Pain Quotidien,20,North Audley Street,W1K 6ZD,,Mayfair,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,20 Old Bailey London EC4M 7EP,525,2,51.5156385,-0.1027039,"Triodos Bank, 20 Old Bailey, City of London, EC4M 7NB, United Kingdom",Triodos Bank,20,Old Bailey,EC4M 7NB,West Smithfield,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Old Bailey London,EC4M 7QQ",526,2,51.5156385,-0.1027039,"Triodos Bank, 20 Old Bailey, City of London, EC4M 7NB, United Kingdom",Triodos Bank,20,Old Bailey,EC4M 7NB,West Smithfield,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Old Bailey London,EC4N 7QQ",527,2,51.5156385,-0.1027039,"Triodos Bank, 20 Old Bailey, City of London, EC4M 7NB, United Kingdom",Triodos Bank,20,Old Bailey,EC4M 7NB,West Smithfield,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.21870000000000003,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Old Bailey St.,London EC4M 7EP",528,2,51.5156385,-0.1027039,"Triodos Bank, 20 Old Bailey, City of London, EC4M 7NB, United Kingdom",Triodos Bank,20,Old Bailey,EC4M 7NB,West Smithfield,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Old Bailey,London",529,2,51.5156385,-0.1027039,"Triodos Bank, 20 Old Bailey, City of London, EC4M 7NB, United Kingdom",Triodos Bank,20,Old Bailey,EC4M 7NB,West Smithfield,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.7290000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
